label,nb_events_culture,titres_events_culture,tarif_transport_etudiant,source
Abbeville,0,Aucun événement recensé,1.0,Trans'80
Achères,5,"Concert d'été ""Happy Parvis"", Atelier Arduino, fabrication d'instruments électroniques, Apprenez les secrets de la musique assistée par ordinateur (MAO) avec les artistes du collectif Ecstatic Playground., Block Party #2, Stage BMX & MAO",31.2,Imagine R - Île-de-France Mobilités
Agde,0,Aucun événement recensé,Indisponible,Non renseignée
Agen,0,Aucun événement recensé,8.75,Tempo Bus
Aix-en-Provence,6,"Atelier de recherche théâtrale autour de la Résilience, Habillage musical d'un film réalisé à partir d'archives inédites d'Aix en Provence, Résidence "" Rouvrir le Monde "" - Spectacle Pinocchio - Foyer Delta Sud Aix en Provence ( 13), Une chenille dans le coeur, ateliers intergénérationnels de lecture et jeu théâtral, autour des valeurs de l'écologie., Atelier dessin d'animation",45.0,Aix en Bus
Aix-les-Bains,0,Aucun événement recensé,Indisponible,Non renseignée
Ajaccio,0,Aucun événement recensé,47.5,CFC Corse
Albi,0,Aucun événement recensé,12.0,LibéA Mobilités
Alençon,3,"Rencontre/exposition avec l'illustratrice Giulia Torelli, Atelier peinture et collage ""Rêverie sur la mer"" (6-10 ans), Atelier peinture et collage ""Rêverie sur la mer"" (6-12 ans)",Indisponible,Non renseignée
Alfortville,3,"L'Été culturel 2024 dans les bibliothèques d'Île-de-France L'Abécédaire sportif et décalé, L’Été culturel Des livres à soi, Les rendez-vous du parc Alfortville",31.2,Imagine R - Île-de-France Mobilités
Allauch,0,Aucun événement recensé,Indisponible,Non renseignée
Alès,0,Aucun événement recensé,Indisponible,Non renseignée
Amiens,2,"L’Été culturel Des livres à soi, Olympiade culturelle et artistique d'Étouvie",Indisponible,Non renseignée
Angers,28,"rencontre à la grande flècherie, rencontre avec le conseil de quartier, Atelier Art visuel ""Cartes postales"", Exposition Paysage-matière à pensées, Petit déjeuner dessiné",21.55,Irigo
Anglet,0,Aucun événement recensé,Indisponible,Non renseignée
Angoulême,2,"VILLAGE EPHEMERE 2éme EDITION évènement culturel, arts de rue, musique, art clownesque, arts visuels et sonores., Restitution projet 'Aérobeats - 120 BPM'",Indisponible,Non renseignée
Annecy,0,Aucun événement recensé,6.67,SIBRA
Annemasse,0,Aucun événement recensé,Indisponible,Non renseignée
Antibes,0,Aucun événement recensé,27.0,Envibus
Antony,1,Les ateliers d'Eté de La Source Garouste - Des Brillants - Sculpture,31.2,Imagine R - Île-de-France Mobilités
Arcueil,8,"Spectacle ""SPORTS"" Compagnie mkcd, Spectacle ""Ekphrasis"" Collectif Impatience, Spectacle « WOZA ! » - Compagnie Ayoba, Spectacle ""Bâton – Mélanie et Perrine – out play"" Collectif Impatience, Spectacle ""Les Impromptus de Signes à l'oeil"" Cie Corps bruts",31.2,Imagine R - Île-de-France Mobilités
Argenteuil,1,Culture Autrement / Concert de TrioPolycordes - À parts égales,31.2,Imagine R - Île-de-France Mobilités
Arles,3,"Chants et mémoires de notre patrimoine, (auto)portrait de femmes, Concert et expo sonore",Indisponible,Non renseignée
Armentières,0,Aucun événement recensé,Indisponible,Non renseignée
Arras,10,"Atelier Radio Live + nuit “jam radio”, Mon Cinéma d'été · BON VOYAGE DIMITRI !, Mon Cinéma d'été · PETITS CONTES SOUS L'OCÉAN, Mon Cinéma d'été · SAUVAGES en avant-première, Mon Cinéma d'été · LES TRIPLETTES DE BELLEVILLE",Indisponible,Non renseignée
Asnières-sur-Seine,1,Rendez-vous du parc Asnière,31.2,Imagine R - Île-de-France Mobilités
Athis-Mons,8,"Festival Les Bords d'été #4, Les Yourtes Dans Ma Ville à Athis Mons / Clos Nollet, Du sport dans l'aire, Concert haut-perché - festival Rhizomes, Les Yourtes Dans Ma Ville à Athis-Mons / Noyer Renard",31.2,Imagine R - Île-de-France Mobilités
Aubagne,2,"""Vous avez dit Sauvage"" : ateliers théâtre et travail de la voix au micro, Résidence Arts plastiques - Nage libre ! - Doriane Millet",Indisponible,Non renseignée
Aubervilliers,12,"Scènes Nomaades #4 / Aubervilliers, Événement artistique et festif — La Fête de la moisson, Roforofo Summer Camp : concert au Point Fort d'Aubervilliers, Atelier vannage — Fête de la moisson, Atelier d'initation à l'akutuk",31.2,Imagine R - Île-de-France Mobilités
Auch,2,"Spectacle ""Jours"", Spectacle ""Jours"" avec Ça Bouge à Auch",Indisponible,Non renseignée
Aulnay-sous-Bois,2,"Cocons-cabanes - Juliette Plihon / Iorhanne Da Cunha, Olympiades circassiennes",31.2,Imagine R - Île-de-France Mobilités
Aurillac,4,"Ateliers HIPHOP (écriture / prod & Réalisation de Clips) - Les ateliers des rêveurs, Participez au projet ""Combustion"" de la compagnie PAL/SECAM - Festival International de Théâtre de Rue d'Aurillac, Participez au projet ""MULJIL"" de la compagnie Elephants Laugh - Festival International de Théâtre de Rue d'Aurillac, Participez au projet ""HOME/LAND"" de la compagnie Begat Theater - Festival International de Théâtre de Rue d'Aurillac",Indisponible,Non renseignée
Auxerre,0,Aucun événement recensé,Indisponible,Non renseignée
Avignon,2,"L'Encordée - Atelier et Résidence - ""Les Baudrières"", Après petit c'est grand?",Indisponible,Non renseignée
Bagneux,4,"Pop In Progress - Fabrique des Vendanges - résidence artistique musiques actuelles, GLISSEMENT, un été culturel à Bagneux, GLISSEMENT, Un été culturel à Bagneux, Concert Jardinal",31.2,Imagine R - Île-de-France Mobilités
Bagnolet,3,"BIFURQUER / Collectif Adelphes, Scènes Nomaades #4 / Parc des Guilands Montreuil, Spectacle : restitution du workshop Danse & Clown / Marc Lacourt + les clowns du Samovar",31.2,Imagine R - Île-de-France Mobilités
