label,insee_code,loyer_m2,logements_etudiants,logements_sociaux,meteo_type,secteurs_dominants
Abbeville,80001,10.5,1120,5601,Froide,"Logistique, Commerce"
Achères,78005,25.7,1083,5415,Tempérée,"Finance, Luxe, Santé"
Agde,34003,13.0,1480,7403,Ensoleillée,"Aérospatial, Santé"
Agen,47001,13.4,1609,8048,Océanique,"Agroalimentaire, Vin"
Aix-en-Provence,13001,14.6,7396,36983,Ensoleillée,"Tourisme, Santé"
Aix-les-Bains,73008,12.3,1608,8043,Montagne,"Industrie, Recherche"
Ajaccio,2A004,13.1,3767,18835,Ensoleillée,"Tourisme, Artisanat"
Albi,81004,13.0,2530,12651,Ensoleillée,"Aérospatial, Santé"
Alençon,61001,9.3,1283,6416,Océanique,"Agro, Maritime"
Alfortville,94002,25.7,2278,11392,Tempérée,"Finance, Luxe, Santé"
Allauch,13002,14.6,1070,5351,Ensoleillée,"Tourisme, Santé"
Alès,30007,13.0,2251,11256,Ensoleillée,"Aérospatial, Santé"
Amiens,80021,10.5,6739,33695,Froide,"Logistique, Commerce"
Angers,49007,11.9,7877,39388,Océanique,"Naval, Agro"
Anglet,64024,13.4,2114,10572,Océanique,"Agroalimentaire, Vin"
Angoulême,16015,13.4,2071,10355,Océanique,"Agroalimentaire, Vin"
Annecy,74010,12.3,6563,32818,Montagne,"Industrie, Recherche"
Annemasse,74012,12.3,1879,9398,Montagne,"Industrie, Recherche"
Antibes,06004,14.6,3830,19153,Ensoleillée,"Tourisme, Santé"
Antony,92002,25.7,3201,16006,Tempérée,"Finance, Luxe, Santé"
Arcueil,94003,25.7,1093,5467,Tempérée,"Finance, Luxe, Santé"
Argenteuil,95018,25.7,5356,26783,Tempérée,"Finance, Luxe, Santé"
Arles,13004,14.6,2557,12789,Ensoleillée,"Tourisme, Santé"
Armentières,59017,10.5,1305,6526,Froide,"Logistique, Commerce"
Arras,62041,10.5,2131,10655,Froide,"Logistique, Commerce"
Asnières-sur-Seine,92004,25.7,4572,22864,Tempérée,"Finance, Luxe, Santé"
Athis-Mons,91027,25.7,1822,9112,Tempérée,"Finance, Luxe, Santé"
Aubagne,13005,14.6,2386,11931,Ensoleillée,"Tourisme, Santé"
Aubervilliers,93001,25.7,4474,22372,Tempérée,"Finance, Luxe, Santé"
Auch,32013,13.0,1141,5706,Ensoleillée,"Aérospatial, Santé"
Aulnay-sous-Bois,93005,25.7,4318,21590,Tempérée,"Finance, Luxe, Santé"
Aurillac,15014,12.3,1309,6547,Montagne,"Industrie, Recherche"
Auxerre,89024,10.4,1761,8809,Tempérée,"Agro, Mécanique"
Avignon,84007,14.6,4588,22940,Ensoleillée,"Tourisme, Santé"
Bagneux,92007,25.7,2182,10911,Tempérée,"Finance, Luxe, Santé"
Bagnolet,93006,25.7,2088,10444,Tempérée,"Finance, Luxe, Santé"
Baie-Mahault,97103,12.0,1547,7735,Tempérée,"Services, Commerce"
Bastia,2B033,13.1,2372,11864,Ensoleillée,"Tourisme, Artisanat"
Bayonne,64102,13.4,2665,13328,Océanique,"Agroalimentaire, Vin"
Beaune,21054,10.4,1011,5058,Tempérée,"Agro, Mécanique"
Beaupréau-en-Mauges,49023,11.9,1194,5971,Océanique,"Naval, Agro"
Beauvais,60057,10.5,2795,13976,Froide,"Logistique, Commerce"
Belfort,90010,10.4,2282,11411,Tempérée,"Agro, Mécanique"
Bergerac,24037,13.4,1342,6713,Océanique,"Agroalimentaire, Vin"
Besançon,25056,10.4,6002,30014,Tempérée,"Agro, Mécanique"
Bezons,95063,25.7,1715,8578,Tempérée,"Finance, Luxe, Santé"
Biarritz,64122,13.4,1290,6452,Océanique,"Agroalimentaire, Vin"
Blagnac,31069,13.0,1365,6828,Ensoleillée,"Aérospatial, Santé"
Blois,41018,10.2,2354,11773,Tempérée,"Agro, Pharmaceutique"
Bobigny,93008,25.7,2763,13817,Tempérée,"Finance, Luxe, Santé"
Bois-Colombes,92009,25.7,1468,7344,Tempérée,"Finance, Luxe, Santé"
Bondy,93010,25.7,2553,12766,Tempérée,"Finance, Luxe, Santé"
Bordeaux,33063,13.4,13266,66332,Océanique,"Agroalimentaire, Vin"
Bouguenais,44020,11.9,1029,5147,Océanique,"Naval, Agro"
Boulogne-Billancourt,92012,25.7,6010,30051,Tempérée,"Finance, Luxe, Santé"
Boulogne-sur-Mer,62160,10.5,2051,10259,Froide,"Logistique, Commerce"
Bourg-en-Bresse,01053,12.3,2103,10516,Montagne,"Industrie, Recherche"
Bourg-la-Reine,92014,25.7,1057,5285,Tempérée,"Finance, Luxe, Santé"
Bourges,18033,10.2,3211,16059,Tempérée,"Agro, Pharmaceutique"
Bourgoin-Jallieu,38053,12.3,1490,7454,Montagne,"Industrie, Recherche"
Brest,29019,11.2,7049,35248,Océanique,"Numérique, Éducation"
Brive-la-Gaillarde,19031,13.4,2338,11692,Océanique,"Agroalimentaire, Vin"
Bron,69029,12.3,2142,10712,Montagne,"Industrie, Recherche"
Bruay-la-Buissière,62178,10.5,1099,5499,Froide,"Logistique, Commerce"
Bruges,33075,13.4,1019,5095,Océanique,"Agroalimentaire, Vin"
Brunoy,91114,25.7,1289,6448,Tempérée,"Finance, Luxe, Santé"
Brétigny-sur-Orge,91103,25.7,1332,6664,Tempérée,"Finance, Luxe, Santé"
Bussy-Saint-Georges,77058,25.7,1316,6583,Tempérée,"Finance, Luxe, Santé"
Bègles,33039,13.4,1548,7742,Océanique,"Agroalimentaire, Vin"
Béthune,62119,10.5,1267,6335,Froide,"Logistique, Commerce"
Béziers,34032,13.0,4040,20203,Ensoleillée,"Aérospatial, Santé"
Cachan,94016,25.7,1526,7631,Tempérée,"Finance, Luxe, Santé"
Caen,14118,9.3,5419,27099,Océanique,"Agro, Maritime"
Cagnes-sur-Mer,06027,14.6,2642,13213,Ensoleillée,"Tourisme, Santé"
Calais,62193,10.5,3379,16896,Froide,"Logistique, Commerce"
Caluire-et-Cuire,69034,12.3,2173,10869,Montagne,"Industrie, Recherche"
Cambrai,59122,10.5,1578,7892,Froide,"Logistique, Commerce"
Cannes,06029,14.6,3702,18510,Ensoleillée,"Tourisme, Santé"
Carcassonne,11069,13.0,2321,11607,Ensoleillée,"Aérospatial, Santé"
Carpentras,84031,14.6,1542,7713,Ensoleillée,"Tourisme, Santé"
Carquefou,44026,11.9,1026,5133,Océanique,"Naval, Agro"
Castelnau-le-Lez,34057,13.0,1270,6351,Ensoleillée,"Aérospatial, Santé"
Castres,81065,13.0,2135,10675,Ensoleillée,"Aérospatial, Santé"
Cavaillon,84035,14.6,1294,6472,Ensoleillée,"Tourisme, Santé"
Cayenne,97302,12.0,3197,15989,Tempérée,"Services, Commerce"
Cenon,33119,13.4,1339,6696,Océanique,"Agroalimentaire, Vin"
Cergy,95127,25.7,3478,17394,Tempérée,"Finance, Luxe, Santé"
Challans,85047,11.9,1144,5722,Océanique,"Naval, Agro"
Chalon-sur-Saône,71076,10.4,2229,11148,Tempérée,"Agro, Mécanique"
Chambéry,73065,12.3,3012,15062,Montagne,"Industrie, Recherche"
